title,year,duration,genre,rating,movie_url
"Three Billboards Outside Ebbing, Missouri ",2017,1h 55min,Comedy,8.2,https://www.imdb.com/title/tt5027774/
Gangs of Wasseypur ,2012,5h 21min,Action,8.2,https://www.imdb.com/title/tt1954470/
The Secret in Their Eyes ,2009,2h 9min,Drama,8.2,https://www.imdb.com/title/tt1305806/
Drishyam ,2015,2h 43min,Crime,8.2,https://www.imdb.com/title/tt4430212/
Ikiru ,1952,2h 23min,Drama,8.3,https://www.imdb.com/title/tt0044741/
Citizen Kane ,1941,1h 59min,Drama,8.3,https://www.imdb.com/title/tt0033467/
The Apartment ,1960,2h 5min,Comedy,8.3,https://www.imdb.com/title/tt0053604/
Lawrence of Arabia ,1962,3h 48min,Adventure,8.3,https://www.imdb.com/title/tt0056172/
A Clockwork Orange ,1971,2h 16min,Crime,8.3,https://www.imdb.com/title/tt0066921/
Bicycle Thieves ,1948,1h 29min,Drama,8.3,https://www.imdb.com/title/tt0040522/
Double Indemnity ,1944,1h 47min,Crime,8.3,https://www.imdb.com/title/tt0036775/
The Sting ,1973,2h 9min,Comedy,8.3,https://www.imdb.com/title/tt0070735/
Das Boot ,1981,2h 29min,Adventure,8.3,https://www.imdb.com/title/tt0082096/
Taxi Driver ,1976,1h 54min,Crime,8.3,https://www.imdb.com/title/tt0075314/
Amadeus ,1984,2h 40min,Biography,8.3,https://www.imdb.com/title/tt0086879/
Scarface ,1983,2h 50min,Crime,8.3,https://www.imdb.com/title/tt0086250/
Reservoir Dogs ,1992,1h 39min,Crime,8.3,https://www.imdb.com/title/tt0105236/
Full Metal Jacket ,1987,1h 56min,Drama,8.3,https://www.imdb.com/title/tt0093058/
Metropolis ,1927,2h 33min,Drama,8.3,https://www.imdb.com/title/tt0017136/
Amores Perros ,2000,2h 34min,Drama,8.1,https://www.imdb.com/title/tt0245712/
Children of Heaven ,1997,1h 29min,Drama,8.3,https://www.imdb.com/title/tt0118849/
Braveheart ,1995,2h 58min,Biography,8.3,https://www.imdb.com/title/tt0112573/
Catch Me If You Can ,2002,2h 21min,Biography,8.1,https://www.imdb.com/title/tt0264464/
Memories of Murder ,2003,2h 12min,Action,8.1,https://www.imdb.com/title/tt0353969/
Mary and Max ,2009,1h 32min,Animation,8.1,https://www.imdb.com/title/tt0978762/
Million Dollar Baby ,2004,2h 12min,Drama,8.1,https://www.imdb.com/title/tt0405159/
No Country for Old Men ,2007,2h 2min,Crime,8.1,https://www.imdb.com/title/tt0477348/
Come and See ,1985,2h 22min,Drama,8.3,https://www.imdb.com/title/tt0091251/
Into the Wild ,2007,2h 28min,Adventure,8.1,https://www.imdb.com/title/tt0758758/
Hotel Rwanda ,2004,2h 1min,Biography,8.1,https://www.imdb.com/title/tt0395169/
Hachi: A Dog's Tale ,2009,1h 33min,Drama,8.1,https://www.imdb.com/title/tt1028532/
Spotlight ,2015,2h 9min,Biography,8.1,https://www.imdb.com/title/tt1895587/
Ford v Ferrari ,2019,2h 32min,Action,8.1,https://www.imdb.com/title/tt1950186/
Gran Torino ,2008,1h 56min,Drama,8.1,https://www.imdb.com/title/tt1205489/
12 Years a Slave ,2013,2h 14min,Biography,8.1,https://www.imdb.com/title/tt2024544/
Harry Potter and the Deathly Hallows: Part 2 ,2011,2h 10min,Adventure,8.1,https://www.imdb.com/title/tt1201607/
Rush ,2013,2h 3min,Action,8.1,https://www.imdb.com/title/tt1979320/
Before Sunset ,2004,1h 20min,Drama,8.1,https://www.imdb.com/title/tt0381681/
Hacksaw Ridge ,2016,2h 19min,Biography,8.1,https://www.imdb.com/title/tt2119532/
Inside Out ,2015,1h 35min,Animation,8.1,https://www.imdb.com/title/tt2096673/
Prisoners ,2013,2h 33min,Crime,8.1,https://www.imdb.com/title/tt1392214/
Gone Girl ,2014,2h 29min,Drama,8.1,https://www.imdb.com/title/tt2267998/
Wild Tales ,2014,2h 2min,Comedy,8.1,https://www.imdb.com/title/tt3011894/
Room ,2015,1h 58min,Drama,8.1,https://www.imdb.com/title/tt3170832/
The General ,1926,1h 7min,Action,8.1,https://www.imdb.com/title/tt0017925/
Logan ,2017,2h 17min,Action,8.1,https://www.imdb.com/title/tt3315342/
The Help ,2011,2h 26min,Drama,8.0,https://www.imdb.com/title/tt1454029/
The Handmaiden ,2016,2h 25min,Drama,8.1,https://www.imdb.com/title/tt4016934/
Gone with the Wind ,1939,3h 58min,Drama,8.1,https://www.imdb.com/title/tt0031381/
The Passion of Joan of Arc ,1928,1h 54min,Biography,8.1,https://www.imdb.com/title/tt0019254/
The Wages of Fear ,1953,2h 11min,Adventure,8.1,https://www.imdb.com/title/tt0046268/
Mr. Smith Goes to Washington ,1939,2h 9min,Comedy,8.1,https://www.imdb.com/title/tt0031679/
Rebecca ,1940,2h 10min,Drama,8.1,https://www.imdb.com/title/tt0032976/
The Bridge on the River Kwai ,1957,2h 41min,Adventure,8.1,https://www.imdb.com/title/tt0050212/
On the Waterfront ,1954,1h 48min,Crime,8.1,https://www.imdb.com/title/tt0047296/
Andrei Rublev ,1966,3h 25min,Biography,8.1,https://www.imdb.com/title/tt0060107/
Chinatown ,1974,2h 10min,Drama,8.1,https://www.imdb.com/title/tt0071315/
Persona ,1966,1h 23min,Drama,8.1,https://www.imdb.com/title/tt0060827/
Network ,1976,2h 1min,Drama,8.1,https://www.imdb.com/title/tt0074958/
The Battle of Algiers ,1966,2h 1min,Drama,8.1,https://www.imdb.com/title/tt0058946/
The 400 Blows ,1959,1h 39min,Crime,8.1,https://www.imdb.com/title/tt0053198/
Ben-Hur ,1959,3h 32min,Adventure,8.1,https://www.imdb.com/title/tt0052618/
Cool Hand Luke ,1967,2h 7min,Crime,8.1,https://www.imdb.com/title/tt0061512/
Barry Lyndon ,1975,3h 5min,Adventure,8.1,https://www.imdb.com/title/tt0072684/
The Elephant Man ,1980,2h 4min,Biography,8.1,https://www.imdb.com/title/tt0080678/
Rocky ,1976,2h,Drama,8.1,https://www.imdb.com/title/tt0075148/
The Deer Hunter ,1978,3h 3min,Drama,8.1,https://www.imdb.com/title/tt0077416/
Before Sunrise ,1995,1h 41min,Drama,8.1,https://www.imdb.com/title/tt0112471/
"Paris, Texas ",1984,2h 25min,Drama,8.1,https://www.imdb.com/title/tt0087884/
La Haine ,1995,1h 38min,Crime,8.1,https://www.imdb.com/title/tt0113247/
Stand by Me ,1986,1h 29min,Adventure,8.1,https://www.imdb.com/title/tt0092005/
In the Name of the Father ,1993,2h 13min,Biography,8.1,https://www.imdb.com/title/tt0107207/
Trainspotting ,1996,1h 33min,Drama,8.1,https://www.imdb.com/title/tt0117951/
Platoon ,1986,2h,Drama,8.1,https://www.imdb.com/title/tt0091763/
The Truman Show ,1998,1h 43min,Comedy,8.1,https://www.imdb.com/title/tt0120382/
Dead Poets Society ,1989,2h 8min,Comedy,8.1,https://www.imdb.com/title/tt0097165/
Fargo ,1996,1h 38min,Crime,8.1,https://www.imdb.com/title/tt0116282/
The Invisible Guest ,2016,1h 46min,Crime,8.1,https://www.imdb.com/title/tt4857264/
The Sixth Sense ,1999,1h 47min,Drama,8.1,https://www.imdb.com/title/tt0167404/
Neon Genesis Evangelion: The End of Evangelion ,1997,1h 27min,Animation,8.1,https://www.imdb.com/title/tt0169858/
